,Unnamed: 0,Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
27,28, Learning a new language for personal growth.       , Positive  , LanguageLearner, Facebook , LanguageLearning PersonalGrowth       ,25,50, India     ,2023,1,23,16
28,29, Quiet evening with a good book.                    , Positive  , BookLover    , Instagram , Reading QuietTime                     ,15,30, Australia ,2023,1,23,19
29,30, Reflecting on the importance of mental health.     , Positive  , MentalHealthMatters, Twitter  , MentalHealth SelfCare                 ,22,45, USA      ,2023,1,24,11
30,31, New painting in progress! 🎨                       , Positive  , ArtistInAction, Facebook , Art PaintingInProgress             ,12,25, Canada ,2023,1,24,15
31,32, Weekend road trip to explore scenic views.         , Positive  , RoadTripper  , Instagram , RoadTrip ScenicViews                  ,18,35, UK        ,2023,1,24,17
32,33, Enjoying a cup of tea and watching the sunset.     , Positive  , SunsetWatcher, Twitter  , TeaTime Sunset                       ,15,30, India    ,2023,1,25,18
33,34, Coding a new project with enthusiasm.              , Positive  , CodeEnthusiast, Facebook , Coding Enthusiasm                   ,30,60, USA ,2023,1,25,13
34,35, Feeling inspired after attending a workshop.       , Positive  , WorkshopAttendee, Instagram , Inspiration Workshop                  ,25,50,USA,2023,1,26,9
35,36, Winter sports day at the local park.               , Positive  , WinterSports  , Twitter  , WinterSports Fun                     ,15,30, Canada   ,2023,1,26,14
36,37, Quality time with family this weekend.             , Positive  , FamilyTime   , Facebook , FamilyTime Weekend                    ,22,45, UK        ,2023,1,26,17
37,38, Attending a live music concert tonight.            , Positive  , MusicLover   , Instagram , Music ConcertNight                  ,18,35, USA ,2023,1,27,20
38,39, Practicing mindfulness with meditation.            , Positive  , MindfulMoments, Twitter  , Mindfulness Meditation               ,15,30, India    ,2023,1,27,12
39,40, Trying out a new dessert recipe.                   , Positive  , DessertExplorer, Facebook , Dessert Cooking                      ,12,25, Canada ,2023,1,27,16
40,41, Excited about the upcoming gaming tournament.      , Positive  , GamingEnthusiast, Instagram , Gaming Tournament                     ,30,60,USA,2023,1,28,9
41,42, Planning a garden makeover for spring.             , Positive  , GardenPlanner , Twitter  , Gardening Spring                     ,25,50, USA      ,2023,1,28,14
42,43, Celebrating a friend's birthday tonight! 🎂       , Positive  , BirthdayBash , Facebook , Birthday Celebration                  ,15,30, UK ,2023,1,28,19
43,44, Feeling accomplished after a productive day.       , Positive  , ProductivityWin, Instagram , Accomplished Success               ,22,45, India ,2023,1,29,17
44,45, A cozy evening with a good movie.                 , Positive  , MovieNight   , Twitter  , CozyNight MovieTime                   ,18,35, Canada   ,2023,1,29,20
45,46, Exploring local art galleries this weekend.        , Positive  , ArtExplorer  , Facebook , Art GalleryExplore                    ,15,30, USA      ,2023,1,30,11
46,47, New book release from my favorite author!          , Positive  , BookwormX    , Instagram , BookRelease FavoriteAuthor           ,12,25, UK   ,2023,1,30,15
47,48, Attending a virtual reality meetup.                , Positive  , VRMeetup     , Twitter  , VRMeetup VirtualReality               ,28,55, India    ,2023,1,30,18
48,49, Reflecting on the beauty of nature.                , Positive  , NatureLover  , Facebook , Nature Reflection                     ,15,30, Australia ,2023,1,31,10
49,50, Cooking a special dinner for loved ones.           , Positive  , ChefAtHome   , Instagram , Cooking SpecialDinner                ,20,40, USA       ,2023,1,31,19
50,51, Feeling optimistic about the week ahead.           , Positive  , OptimisticMindset, Twitter  , Optimism NewWeek                     ,15,30, Canada   ,2023,1,31,16
51,52, Starting a new fitness challenge tomorrow! 💪     , Positive  , FitnessChallenge, Facebook , FitnessChallenge NewBeginnings       ,22,45, UK         ,2023,2,1,8
52,53, Sunday bike ride through scenic trails.           , Positive  , BikeExplorer  , Instagram , BikeRide ScenicTrails                ,18,35, USA     ,2023,2,1,13
53,55, Can't believe the injustice happening in our society., Anger        , SocialJustice   , Twitter  , Injustice Angry                            ,20,40, Canada     ,2023,2,11,9
54,56, Feeling a sense of fear after watching a thriller movie. , Fear         , ThrillerFan     , Instagram , Fear ThrillerMovie                         ,15,30, USA          ,2023,2,11,21
55,57, Heartbroken after hearing the news about a natural disaster. , Sadness      , EmpathyFirst    , Facebook , Sadness NaturalDisaster                    ,25,50, India      ,2023,2,12,14
56,58, The state of the world's environment is just disgusting. , Disgust      , EcoAwareness    , Twitter  , Disgust Environment                        ,18,35, UK         ,2023,2,12,18
57,59, Pure happiness: celebrating a loved one's achievement! , Happiness    , ProudFriend     , Instagram , Happiness Celebration                   ,30,60, USA ,2023,2,13,10
58,60, Laughter is the best medicine—enjoying a comedy show. , Joy          , ComedyFan       , Facebook , Joy ComedyShow                             ,22,45, Canada    ,2023,2,13,19
59,61, Sharing love and positive vibes with everyone! ❤️      , Love         , LoveSpreader    , Twitter  , Love SpreadLove                            ,15,30, Australia  ,2023,2,14,8
60,62, An amusing incident brightened up my day!               , Amusement    , AmusedSoul      , Instagram , Amusement FunTimes                         ,18,35, UK           ,2023,2,14,14
61,63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    , BookLoverAgain  , Facebook , Enjoyment BookTime                         ,25,50, Canada       ,2023,2,14,19
62,64, Admiring the beauty of nature during a peaceful hike.   , Admiration   , NatureAdmirer   , Twitter  , Admiration Nature                         ,20,40, USA       ,2023,2,15,11
63,65, Sending affectionate vibes to all my followers!          , Affection    , AffectionSender , Instagram , Affection PositiveVibes                   ,15,30,USA,2023,2,15,16
64,66, Experiencing awe at the breathtaking sunset.            , Awe          , AweStruck       , Facebook , Awe Breathtaking                          ,22,45, Australia   ,2023,2,15,20
65,67, Disappointed with the service at a local restaurant.    , Disappointed , FoodieGoneWrong , Twitter  , Disappointed BadService                   ,18,35, India      ,2023,2,16,9
66,68, A surprise gift from a friend made my day!              , Surprise     , HappySurprise   , Instagram , Surprise Gift                              ,25,50, USA          ,2023,2,16,14
67,69, Finding acceptance in the midst of life's challenges.   , Acceptance   , AcceptanceSeeker, Facebook , Acceptance Challenges                     ,15,30, Canada     ,2023,2,16,18
68,70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    , PetAdorer       , Twitter  , Adoration PetLove                         ,22,45, UK        ,2023,2,17,10
69,71, Anticipating a thrilling adventure in the coming weeks. , Anticipation , AdventureAwaits  , Instagram , Anticipation Adventure                    ,20,40,USA,2023,2,17,7
70,72, A bitter experience turned into a valuable lesson.      , Bitter       , LearnFromBitter , Facebook , BitterLesson Growth                      ,18,35, USA       ,2023,2,17,15
71,73, Finding calmness in the midst of a busy day.            , Calmness     , ZenMaster       , Twitter  , Calmness PeacefulMind                    ,15,30, India     ,2023,2,18,9
72,74, Confusion clouds my mind as I navigate through decisions., Confusion    , ConfusedMind    , Instagram , Confusion DecisionMaking                 ,25,50, UK   ,2023,2,18,14
73,75, Excitement building up for the upcoming vacation!       , Excitement   , VacationDreamer , Facebook , Excitement TravelPlans                   ,22,45, Canada    ,2023,2,18,18
74,76, Kindness witnessed today restored my faith in humanity. , Kind         , KindnessPrevails, Twitter  , Kindness Humanity                        ,20,40, USA       ,2023,2,19,11
75,77, Pride in achieving a personal milestone.               , Pride        , PersonalAchiever, Instagram , Pride Milestone                           ,30,60, Australia    ,2023,2,19,16
76,78, A moment of shame for not standing up against injustice. , Shame        , ReflectiveSelf  , Facebook , Shame Injustice                           ,15,30, India      ,2023,2,19,19
77,79, Fuming with anger after a heated argument.            , Anger        , AngryDebater    , Twitter  , Anger Argument                             ,20,40, Canada     ,2023,2,20,9
78,80, The fear of the unknown is keeping me up at night.    , Fear         , FearfulDreamer  , Instagram , Fear Unknown                               ,15,30, USA          ,2023,2,20,21
79,81, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      , FarewellHeart   , Facebook , Sadness Farewell                          ,25,50, India      ,2023,2,21,14
80,82, The state of corruption in our society is utterly disgusting. , Disgust      , AntiCorruption  , Twitter  , Disgust Corruption                         ,18,35, UK         ,2023,2,21,18
81,83, Overflowing happiness: welcoming a new family member!  , Happiness    , NewParentJoy    , Instagram , Happiness NewFamilyMember                 ,30,60, UK           ,2023,2,22,10
82,84, Laughter is the key to joy—attending a stand-up comedy show. , Joy          , StandUpFan      , Facebook , Joy StandUpComedy                         ,22,45, Canada    ,2023,2,22,19
83,85, Sending love to all my followers on this beautiful day! ❤️ , Love         , LoveSender      , Twitter  , Love SpreadLove                            ,15,30, Australia  ,2023,2,23,8
84,86, Amused by the antics of my pet—it's pure amusement!      , Amusement    , PetAmuser       , Instagram , Amusement PetAntics                       ,18,35, UK           ,2023,2,23,14
85,87, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    , TravelExplorer  , Facebook , Enjoyment Travel                           ,25,50, USA ,2023,2,23,19
86,88, Admiring the dedication of volunteers at a local charity. , Admiration   , CharityAdmirer  , Twitter  , Admiration Volunteers                     ,20,40, USA        ,2023,2,24,11
87,89, Sending affectionate vibes to friends and family.        , Affection    , FamilyLover     , Instagram , Affection FamilyLove                      ,15,30,USA,2023,2,24,16
88,90, Awe-struck by the beauty of the night sky.               , Awe          , Stargazer       , Facebook , Awe StarryNight                        ,22,45, Australia ,2023,2,24,20
89,91, Disappointed with the lack of progress in a personal project. , Disappointed , ProjectStruggle , Twitter  , Disappointed Project                     ,18,35, India      ,2023,2,25,9
90,92, A surprise visit from an old friend brought tears of joy. , Surprise     , JoyfulReunion   , Instagram , Surprise OldFriends                       ,25,50, USA          ,2023,2,25,14
91,93, Embracing acceptance of life's ups and downs.           , Acceptance   , LifeAcceptance  , Facebook , Acceptance LifeJourney                   ,15,30, Canada     ,2023,2,25,18
92,94, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    , PuppyAdmirer    , Twitter  , Adoration PuppyLove                       ,22,45, UK         ,2023,2,26,10
93,95, Anticipating the release of a much-awaited movie.       , Anticipation , MovieBuff2      , Instagram , Anticipation MovieRelease                 ,20,40, Australia    ,2023,2,26,7
94,96, Bitter experience at the customer service department.   , Bitter       , CustomerWoes    , Facebook , BitterExperience CustomerService         ,18,35, USA       ,2023,2,26,15
95,97, Finding calmness amidst the chaos of daily life.        , Calmness     , CalmSoul        , Twitter  , Calmness InnerPeace                      ,15,30, India     ,2023,2,27,9
96,98, Confusion reigns as I try to make sense of recent events., Confusion    , ConfusedMind2   , Instagram , Confusion MakingSense                    ,25,50, UK   ,2023,2,27,14
97,99, Excitement building up for a surprise birthday party.   , Excitement   , BirthdayExcite  , Facebook , Excitement SurpriseParty                 ,22,45, Canada ,2023,2,27,18
98,100, Witnessed an act of kindness that made my day.          , Kind         , KindnessObserver, Twitter  , Kindness ActsOfKindness                  ,20,40, USA       ,2023,2,28,11
99,101, Pride in completing a challenging fitness challenge.    , Pride        , FitAchiever     , Instagram , Pride FitnessChallengeCompleted          ,30,60, UK            ,2023,2,28,16
100,102, A moment of shame for not speaking up against injustice., Shame        , ReflectiveSelf2 , Facebook , Shame Injustice                           ,15,30, India     ,2023,2,28,19
101,103, Reflecting on the beauty of diversity in our world.     , Acceptance   , DiversityLover  , Twitter  , Acceptance Diversity                      ,22,45, Australia ,2023,3,1,10
102,104, Excitement for a quiet evening with a good book.        , Excitement   , BookwormJoy     , Instagram , Excitement BookTime                       ,18,35, USA          ,2023,3,1,13
103,105, Feeling bitter about the unfairness in the workplace.   , Bitter       , WorkplaceWoes   , Twitter  , Bitter Unfairness                         ,15,30, Canada    ,2023,3,1,17
104,106, Calmness prevails as I practice mindfulness.            , Calmness     , MindfulMe       , Facebook , Calmness Mindfulness                      ,15,30, UK        ,2023,3,2,18
105,107, Confusion surrounds me as I navigate through life's choices. , Confusion , ConfusedMind3   , Instagram , Confusion LifeChoices                     ,30,60, USA   ,2023,3,2,13
106,108, Excitement for a weekend road trip to explore new places. , Excitement , RoadTripper2    , Twitter  , Excitement WeekendAdventure               ,25,50, India     ,2023,3,2,16
107,109, Kindness witnessed today restores my faith in humanity.  , Kind         , KindnessPrevails2, Facebook , Kindness HumanityRestored                 ,22,45, USA       ,2023,3,3,11
108,110, Pride in accomplishing personal and professional goals.  , Pride        , GoalAchiever    , Instagram , Pride Accomplishments                     ,12,25, Canada ,2023,3,3,14
109,111, Shame for not being true to my values in a difficult situation., Shame , ReflectiveSelf3 , Twitter  , Shame Integrity                           ,15,30, UK        ,2023,3,3,12
110,112," Revisiting old memories, feeling a sense of elation. ", Elation       , NostalgiaFan    , Twitter  , Elation Memories                             ,20,40, Canada    ,2010,5,15,15
111,113, The victory of our team brought euphoria to the city. , Euphoria      , SportsFanatic   , Instagram , Euphoria Victory                             ,15,30, USA      ,2021,8,10,21
112,114," Embracing the beauty of nature, a moment of contentment. ", Contentment   , NatureLover2    , Facebook , Contentment Nature                           ,25,50, India       ,2011,6,20,14
113,115," Meditating by the serene lake, finding inner peace.   ", Serenity      , ZenMaster2      , Twitter  , Serenity Meditation                          ,18,35, UK          ,2022,2,12,18
114,116, Overflowing with gratitude for life's blessings.      , Gratitude     , ThankfulHeart   , Instagram , Gratitude Blessed                            ,30,60, Australia   ,2012,11,25,10
115,117," Hopeful for a brighter tomorrow, despite challenges.  ", Hope          , OptimisticSoul  , Facebook , Hope Optimism                                ,22,45, USA      ,2013,4,5,19
116,118, Empowered to make a difference in my community.        , Empowerment   , CommunityLeader , Twitter  , Empowerment Community                        ,15,30, UK       ,2014,9,14,8
117,119, Compassion in action: supporting a local charity event. , Compassion    , CharitySupporter, Instagram , Compassion CharityEvent                   ,18,35, Canada ,2015,7,18,14
118,120," A moment of tenderness, connecting with loved ones.    ", Tenderness    , LovingHeart     , Facebook , Tenderness FamilyTime                       ,25,50, UK          ,2016,2,23,19
119,121, Arousal of excitement as I await a special announcement., Arousal       , ExcitementFan   , Twitter  , Arousal Excitement                           ,20,40, Australia ,2017,10,30,11
120,122, Enthusiastically diving into a new project.            , Enthusiasm    , ProjectEnthusiast, Instagram , Enthusiasm NewProject                       ,15,30, USA  ,2018,6,15,16
121,123, Feeling a sense of fulfillment after reaching a milestone., Fulfillment  , MilestoneAchiever, Facebook , Fulfillment Milestone                       ,22,45, India     ,2019,3,28,18
122,124, Reverence for the beauty of a historic landmark.       , Reverence     , HistoryLover    , Twitter  , Reverence History                           ,18,35, UK      ,2019,11,11,15
123,125, Elation after a surprise reunion with old friends.    , Elation       , JoyfulReunion2  , Instagram , Elation OldFriends                          ,25,50, Canada      ,2020,4,2,9
124,126, The euphoria of a live music concert under the stars.  , Euphoria      , MusicEnthusiast , Facebook , Euphoria LiveMusic                          ,15,30, USA ,2021,6,19,14
125,127, Contentment in the simplicity of a quiet Sunday.       , Contentment   , SimpleJoys      , Twitter  , Contentment SundayMood                      ,30,60, Australia ,2010,8,15,10
126,128, Serenity found in the pages of a favorite book.        , Serenity      , BookLover3      , Instagram , Serenity BookTime                           ,22,45, UK          ,2011,9,22,19
127,129, Gratitude for the support received during tough times. , Gratitude     , SupportiveFriend, Facebook , Gratitude Supportive                        ,15,30, India     ,2012,3,10,8
128,130, Hopeful about the possibilities of a new journey.      , Hope          , JourneyOptimist , Twitter  , Hope NewBeginnings                          ,18,35, Canada    ,2013,12,5,16
129,131, Empowerment through learning and personal growth.      , Empowerment   , GrowthSeeker    , Instagram , Empowerment PersonalGrowth                  ,25,50,USA,2014,7,20,11
130,132, Compassion towards those in need during the holidays.  , Compassion    , HolidayHelper   , Facebook , Compassion HolidaySupport                   ,18,35, USA      ,2015,12,22,14
131,133, Tenderness in the warmth of a cozy winter evening.     , Tenderness    , WinterWarmth    , Twitter  , Tenderness CozyEvening                     ,25,50, UK       ,2016,2,10,19
132,134, Arousal of excitement for an upcoming adventure.       , Arousal       , AdventureAwaits , Instagram , Arousal AdventureTime                       ,20,40, Australia ,2017,4,30,11
133,135, Enthusiasm for a creative project in the making.       , Enthusiasm    , CreativeSpirit  , Facebook , Enthusiasm Creativity                       ,15,30, Canada    ,2018,9,15,16
134,136, Fulfillment in completing a challenging workout routine., Fulfillment  , FitnessAchiever , Twitter  , Fulfillment FitnessGoals                   ,22,45, India     ,2019,6,28,18
135,137, Reverence for the artistry displayed in a museum.      , Reverence     , ArtAppreciator  , Instagram , Reverence ArtAppreciation                  ,18,35, UK        ,2020,11,11,15
136,138, Elation after achieving a personal goal.               , Elation       , GoalAchiever2   , Facebook , Elation PersonalAchievement                ,25,50, USA      ,2021,3,2,9
137,139, Elation over discovering a hidden gem in the city.   , Elation       , UrbanExplorer2  , Twitter  , Elation HiddenGem                            ,20,40, USA      ,2012,2,18,14
138,140, The euphoria of a surprise birthday celebration.     , Euphoria      , BirthdayJoy     , Instagram , Euphoria BirthdaySurprise                   ,15,30, UK   ,2018,11,5,21
139,141, Contentment in the simplicity of a home-cooked meal. , Contentment   , HomeChef        , Facebook , Contentment HomeCooking                     ,25,50, India    ,2015,9,12,13
140,142, Serenity found in the melody of a peaceful piano.    , Serenity      , MusicLover4     , Twitter  , Serenity PeacefulMelody                    ,18,35, Canada      ,2016,7,30,18
141,143, Gratitude for the supportive community around me.    , Gratitude     , CommunityLove   , Instagram , Gratitude CommunitySupport                   ,30,60, USA ,2013,4,20,10
142,144, Hopeful about the prospects of a new business venture., Hope          , EntrepreneurHope, Facebook , Hope BusinessVenture                        ,22,45, Canada    ,2017,12,8,19
143,145, Empowerment through mentoring and guiding others.    , Empowerment   , MentorEmpower   , Twitter  , Empowerment Mentorship                      ,15,30, UK       ,2014,6,3,8
144,146, Compassion shown through acts of kindness in the community., Compassion, KindnessInAction, Instagram , Compassion CommunityKindness               ,18,35, Australia ,2019,1,15,14
145,147, Tenderness in a heartfelt message to a loved one.    , Tenderness    , LoveExpress     , Facebook , Tenderness LoveNote                         ,25,50, UK          ,2016,12,25,19
146,148, Arousal of excitement before a much-awaited trip.    , Arousal       , TravelExcitement, Twitter  , Arousal TravelAdventure                     ,20,40, India    ,2018,3,10,9
147,149, Enthusiasm for a new artistic project in the works.  , Enthusiasm    , ArtisticSpirit  , Instagram , Enthusiasm ArtisticProject                 ,15,30, USA       ,2020,9,17,16
148,150, Feeling a sense of fulfillment after helping others. , Fulfillment   , HelperHeart     , Facebook , Fulfillment HelpingOthers                  ,22,45, Canada    ,2011,8,28,18
149,151, Reverence for the historical significance of a landmark., Reverence , HistoryBuff     , Twitter  , Reverence HistoricalSite                   ,18,35, Australia ,2017,11,1,15
150,152, Elation after achieving a fitness milestone.         , Elation       , FitnessAchiever2, Instagram , Elation FitnessMilestone                   ,25,50, UK           ,2019,6,15,10
151,153, The euphoria of a successful product launch.         , Euphoria      , ProductLaunchJoy, Facebook , Euphoria ProductLaunchSuccess              ,15,30, USA       ,2022,4,3,11
152,154, Contentment in the embrace of a loved one.           , Contentment   , LovingEmbrace   , Twitter  , Contentment Love                             ,30,60, India    ,2010,11,12,20
153,155, Serenity found in the beauty of a sunset by the sea.  , Serenity      , SunsetWatcher2  , Instagram , Serenity SunsetViews                       ,22,45, Canada     ,2011,7,22,18
154,156, Gratitude for the small joys that each day brings.   , Gratitude     , JoyfulHeart2    , Facebook , Gratitude SmallJoys                        ,15,30, Australia   ,2012,3,30,11
155,157, Hopeful about the potential for personal growth.      , Hope          , GrowthOptimist  , Twitter  , Hope PersonalDevelopment                    ,18,35, UK       ,2013,10,5,16
156,158, Empowerment through learning a new skill.            , Empowerment   , SkillEmpower    , Instagram , Empowerment SkillBuilding                   ,25,50, India   ,2014,7,10,13
157,159, Compassion in volunteering for a local charity.       , Compassion    , CharityVolunteer, Facebook , Compassion VolunteerWork                   ,18,35, USA      ,2015,12,18,14
158,160, Tenderness in a quiet moment shared with a pet.      , Tenderness    , PetLove         , Twitter  , Tenderness PetLove                          ,25,50, Canada   ,2016,2,10,19
159,161, Arousal of excitement for an upcoming festival.       , Arousal       , FestivalFan     , Instagram , Arousal FestivalExcitement               ,20,40, UK ,2017,9,25,11
160,162, Enthusiasm for a DIY home improvement project.       , Enthusiasm    , DIYEnthusiast   , Facebook , Enthusiasm HomeImprovement                 ,15,30, Australia   ,2018,4,15,16
161,163, Fulfillment in completing a challenging puzzle.      , Fulfillment   , PuzzleMaster    , Twitter  , Fulfillment PuzzleChallenge                ,22,45, India    ,2019,11,28,18
162,164, Reverence for the wonders of nature on a hiking trail., Reverence , NatureAdmirer   , Instagram , Reverence NatureExploration                ,18,35, USA        ,2020,5,11,15
163,165, Elation after a surprise reunion with a childhood friend., Elation   , ChildhoodJoy    , Facebook , Elation FriendshipReunion                  ,25,50, Canada      ,2021,2,5,9
164,166, Suffering from despair after another setback.      , Despair         , StrugglingSoul    , Twitter  , Despair Struggle                              ,5,10, USA          ,2021,3,10,8
165,167," Overwhelmed by grief, missing a loved one dearly.  ", Grief           , MourningHeart     , Instagram , Grief Loss                                   ,8,15, Canada          ,2022,7,5,15
166,168, Loneliness creeps in as the night grows colder.    , Loneliness      , SolitarySoul      , Facebook , Loneliness Isolation                         ,10,20, UK           ,2019,11,18,21
167,169, Jealousy consumes me as I witness others' success. , Jealousy        , EnviousObserver   , Twitter  , Jealousy Envy                               ,12,25, India        ,2020,8,12,11
168,170, Resentment building up over past betrayals.        , Resentment      , BitterHeart       , Instagram , Resentment Bitterness                       ,7,15, Australia     ,2018,5,22,14
169,171, Frustration mounts as obstacles block my path.     , Frustration     , BlockedGoals      , Facebook , Frustration Obstacles                       ,10,20, USA          ,2017,1,30,16
170,172," Boredom sets in, the day feels endlessly dull.     ", Boredom         , BoredMind         , Twitter  , Boredom LackOfInterest                     ,8,15, Canada        ,2016,9,28,19
171,173," Anxiety grips my heart, worry clouds my thoughts.  ", Anxiety         , WorriedMind       , Instagram , Anxiety Worry                               ,12,25, UK           ,2019,4,15,9
172,174, Intimidation by the unknown future ahead.          , Intimidation    , FearfulSoul       , Facebook , Intimidation Fear                           ,15,30, India        ,2021,12,3,18
173,175, Helplessness sinks in as challenges pile up.       , Helplessness    , OverwhelmedHeart  , Twitter  , Helplessness Overwhelmed                    ,8,15, Australia    ,2020,6,20,14
174,176, Envy eats away at me as I see others' prosperity.  , Envy            , CovetousMind     , Instagram , Envy Desire                                ,10,20, Canada        ,2018,11,7,11
175,177, Regret over missed opportunities haunts my thoughts., Regret         , RemorsefulSoul   , Facebook , Regret MissedChances                       ,12,25, UK           ,2017,8,25,16
176,178, Disgust at the sight of injustice and cruelty.     , Disgust         , DisgustedHeart   , Twitter  , Disgust Injustice                          ,7,15, India        ,2019,2,11,9
177,179," Drowning in despair, hope slipping through my fingers.", Despair      , HopelessHeart    , Instagram , Despair Hopeless                           ,10,20, USA          ,2016,4,2,20
178,180," Grief weighs heavy, tears a constant companion.    ", Grief           , TearfulSoul      , Facebook , Grief Tears                                ,12,25, Canada        ,2015,10,18,15
179,181," Loneliness in a crowded room, a silent cry for connection.", Loneliness , IsolatedMind     , Twitter  , Loneliness SeekingConnection              ,15,30, UK            ,2019,7,12,18
180,182," Jealousy gnaws at my confidence, a toxic emotion.  ", Jealousy        , SelfDoubt        , Instagram , Jealousy Insecurity                       ,8,15, India         ,2018,6,3,16
181,183," Resentment festers, poisoning relationships.       ", Resentment      , BrokenTrust      , Facebook , Resentment BrokenTrust                     ,10,20, Australia    ,2022,1,15,12
182,184," Frustration boils over, a volcanic eruption of emotions.", Frustration , ExplosiveMind    , Twitter  , Frustration EmotionalOutburst             ,12,25, USA          ,2017,4,10,14
183,185," Boredom settles like dust, life feels mundane.     ", Boredom         , MundaneHeart     , Instagram , Boredom Monotony                          ,7,15, Canada        ,2016,11,28,19
184,186," Anxiety grips my chest, a relentless grip on my thoughts.", Anxiety   , RestlessMind     , Facebook , Anxiety Restlessness                      ,10,20, UK            ,2018,9,5,9
185,187," Intimidation by the challenges ahead, fear takes hold.", Intimidation , FearfulJourney   , Twitter  , Intimidation FacingFear                   ,15,30, India         ,2021,10,22,18
186,188," Helplessness engulfs me, drowning in a sea of problems.", Helplessness , OverwhelmedSoul  , Instagram , Helplessness Struggling                   ,8,15, Australia    ,2019,5,8,14
187,189," Envy poisons my thoughts, coveting others' success.", Envy            , GreenEyedMonster , Facebook , Envy Success                              ,10,20, Canada        ,2017,3,20,11
188,190, Regret for decisions that led to a painful present., Regret         , RegretfulMind    , Twitter  , Regret PastChoices                        ,12,25, USA          ,2018,12,15,16
